"ID_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASC","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
382718,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,VARZEA,RECIFE,PE,F,"2006",S,L7,,,N
381664,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,VARZEA,RECIFE,PE,M,"2005",N,A0,,,N
356696,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2004",N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
383523,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,VARZEA,RECIFE,PE,F,"2005",S,L3,,,N
383959,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BUÍQUE,PE,BRA,VARZEA,RECIFE,PE,F,"1996",S,L3,,,N
383512,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BUÍQUE,PE,BRA,VARZEA,RECIFE,PE,F,"1998",S,L3,,,N
383859,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"1999",N,A0,,,N
383651,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2000",N,A0,,,N
384302,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2003",S,L7,,,N
381169,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2004",N,A0,,,N
383242,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2004",S,L7,,,N
383311,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2005",N,A0,,,N
384123,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2005",N,A0,,,N
383153,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2005",S,L3,,,N
381597,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2006",N,A0,,,N
383431,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2006",N,A0,,,N
381352,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2006",N,A0,,,N
384390,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2006",S,L3,,,N
381668,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2006",S,L7,,,N
384512,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2006",S,L3,,,N
384687,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2006",S,L7,,,N
382132,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,"2007",N,A0,,,N
382795,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,M,"2000",N,A0,,,N
383383,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,M,"2003",N,A0,,,N
382564,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,M,"2004",N,A0,,,N
384575,2024,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,M,"2004",S,L7,,,N
